id,approved,reason_for_rejection,accepted_under_conditions
5404,False,"['Credit score below 640.', 'DTI ratio too high: 101.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
5405,False,"['Credit score below 640.', 'DTI ratio too high: 67.65%.', 'FEDTI ratio above preferred level of 28%.']",[]
5406,False,['Credit score below 640.'],[]
5407,False,"['DTI ratio too high: 78.74%.', 'FEDTI ratio above preferred level of 28%.']",[]
5408,False,"['Credit score below 640.', 'DTI ratio too high: 68.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
5409,False,"['DTI ratio too high: 48.00%.', 'FEDTI ratio above preferred level of 28%.']",[]
5410,True,[],[]
5411,True,[],['DTI ratio above preferred level of 36%.']
5412,False,"['DTI ratio too high: 60.94%.', 'FEDTI ratio above preferred level of 28%.']",[]
5413,False,"['DTI ratio too high: 57.23%.', 'FEDTI ratio above preferred level of 28%.']",[]
5414,False,['Credit score below 640.'],[]
5415,False,['DTI ratio too high: 45.75%.'],[]
5416,False,"['DTI ratio too high: 89.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
5417,False,"['Credit score below 640.', 'DTI ratio too high: 65.94%.', 'FEDTI ratio above preferred level of 28%.']",[]
5418,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5419,False,"['DTI ratio too high: 83.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
5420,False,['Credit score below 640.'],[]
5421,False,"['Credit score below 640.', 'DTI ratio too high: 87.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
5422,False,['Credit score below 640.'],[]
5423,False,"['Credit score below 640.', 'DTI ratio too high: 92.58%.', 'FEDTI ratio above preferred level of 28%.']",[]
5424,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5425,True,[],[]
5426,False,"['DTI ratio too high: 58.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
5427,False,"['Credit score below 640.', 'DTI ratio too high: 50.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
5428,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5429,False,"['DTI ratio too high: 57.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
5430,False,"['DTI ratio too high: 68.39%.', 'FEDTI ratio above preferred level of 28%.']",[]
5431,False,['Credit score below 640.'],[]
5432,False,"['Credit score below 640.', 'DTI ratio too high: 74.52%.', 'FEDTI ratio above preferred level of 28%.']",[]
5433,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5434,False,"['Credit score below 640.', 'DTI ratio too high: 163.95%.', 'FEDTI ratio above preferred level of 28%.']",[]
5435,False,"['Credit score below 640.', 'DTI ratio too high: 45.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
5436,False,"['Credit score below 640.', 'DTI ratio too high: 78.61%.', 'FEDTI ratio above preferred level of 28%.']",[]
5437,False,"['Credit score below 640.', 'DTI ratio too high: 56.81%.', 'FEDTI ratio above preferred level of 28%.']",[]
5438,False,"['DTI ratio too high: 78.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
5439,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5440,True,[],[]
5441,True,[],[]
5442,False,['DTI ratio too high: 43.95%.'],[]
5443,False,"['Credit score below 640.', 'DTI ratio too high: 66.85%.', 'FEDTI ratio above preferred level of 28%.']",[]
5444,False,"['DTI ratio too high: 63.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
5445,False,"['DTI ratio too high: 57.00%.', 'FEDTI ratio above preferred level of 28%.']",[]
5446,False,['DTI ratio too high: 45.24%.'],[]
5447,False,['DTI ratio too high: 43.40%.'],[]
5448,False,"['DTI ratio too high: 76.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
5449,True,[],[]
5450,False,"['Credit score below 640.', 'DTI ratio too high: 51.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
5451,False,"['DTI ratio too high: 58.78%.', 'FEDTI ratio above preferred level of 28%.']",[]
5452,False,"['DTI ratio too high: 46.12%.', 'FEDTI ratio above preferred level of 28%.']",[]
5453,False,"['DTI ratio too high: 60.34%.', 'FEDTI ratio above preferred level of 28%.']",[]
5454,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5455,False,"['Credit score below 640.', 'DTI ratio too high: 80.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
5456,False,"['Credit score below 640.', 'DTI ratio too high: 56.94%.', 'FEDTI ratio above preferred level of 28%.']",[]
5457,False,"['Credit score below 640.', 'DTI ratio too high: 80.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
5458,True,[],[]
5459,False,"['Credit score below 640.', 'DTI ratio too high: 75.95%.', 'FEDTI ratio above preferred level of 28%.']",[]
5460,True,[],[]
5461,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5462,True,[],[]
5463,False,['DTI ratio too high: 49.70%.'],[]
5464,False,"['Credit score below 640.', 'DTI ratio too high: 57.50%.', 'FEDTI ratio above preferred level of 28%.']",[]
5465,True,[],[]
5466,False,"['DTI ratio too high: 90.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
5467,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5468,True,[],[]
5469,False,"['Credit score below 640.', 'DTI ratio too high: 43.74%.']",[]
5470,False,"['DTI ratio too high: 121.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
5471,False,"['DTI ratio too high: 71.65%.', 'FEDTI ratio above preferred level of 28%.']",[]
5472,True,[],[]
5473,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5474,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5475,False,['Credit score below 640.'],[]
5476,False,"['Credit score below 640.', 'DTI ratio too high: 79.86%.', 'FEDTI ratio above preferred level of 28%.']",[]
5477,False,"['DTI ratio too high: 95.73%.', 'FEDTI ratio above preferred level of 28%.']",[]
5478,False,"['Credit score below 640.', 'DTI ratio too high: 121.49%.', 'FEDTI ratio above preferred level of 28%.']",[]
5479,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5480,False,"['DTI ratio too high: 58.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
5481,False,['FEDTI ratio above preferred level of 28%.'],[]
5482,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
5483,False,['DTI ratio too high: 43.98%.'],[]
5484,False,"['Credit score below 640.', 'DTI ratio too high: 102.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
5485,False,"['DTI ratio too high: 44.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
5486,False,"['Credit score below 640.', 'DTI ratio too high: 72.10%.', 'FEDTI ratio above preferred level of 28%.']",[]
5487,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5488,False,['Credit score below 640.'],[]
5489,False,"['DTI ratio too high: 58.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
5490,False,"['DTI ratio too high: 49.17%.', 'FEDTI ratio above preferred level of 28%.']",[]
5491,False,"['DTI ratio too high: 88.27%.', 'FEDTI ratio above preferred level of 28%.']",[]
5492,True,[],[]
5493,False,['DTI ratio too high: 48.97%.'],[]
5494,False,"['Credit score below 640.', 'DTI ratio too high: 46.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
5495,True,[],[]
5496,False,"['DTI ratio too high: 52.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
5497,False,"['Credit score below 640.', 'DTI ratio too high: 51.81%.', 'FEDTI ratio above preferred level of 28%.']",[]
5498,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5499,True,[],[]
5500,False,['Credit score below 640.'],[]
5501,False,"['Credit score below 640.', 'DTI ratio too high: 63.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
5502,False,"['Credit score below 640.', 'DTI ratio too high: 95.33%.', 'FEDTI ratio above preferred level of 28%.']",[]
5503,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5504,True,[],['DTI ratio above preferred level of 36%.']
5505,False,"['DTI ratio too high: 79.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
5506,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5507,False,"['DTI ratio too high: 47.51%.', 'FEDTI ratio above preferred level of 28%.']",[]
5508,False,['Credit score below 640.'],[]
5509,False,"['Credit score below 640.', 'DTI ratio too high: 69.28%.', 'FEDTI ratio above preferred level of 28%.']",[]
5510,False,"['Credit score below 640.', 'DTI ratio too high: 64.47%.', 'FEDTI ratio above preferred level of 28%.']",[]
5511,False,['Credit score below 640.'],[]
5512,False,"['Credit score below 640.', 'DTI ratio too high: 141.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
5513,True,[],[]
5514,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5515,True,[],[]
5516,False,"['DTI ratio too high: 61.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
5517,False,"['Credit score below 640.', 'DTI ratio too high: 104.97%.', 'FEDTI ratio above preferred level of 28%.']",[]
5518,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5519,False,"['Credit score below 640.', 'DTI ratio too high: 82.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
5520,False,"['DTI ratio too high: 124.86%.', 'FEDTI ratio above preferred level of 28%.']",[]
5521,False,"['Credit score below 640.', 'DTI ratio too high: 55.27%.', 'FEDTI ratio above preferred level of 28%.']",[]
5522,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
5523,False,"['DTI ratio too high: 82.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
5524,False,"['DTI ratio too high: 79.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
5525,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
5526,False,['Credit score below 640.'],[]
5527,True,[],[]
5528,False,['FEDTI ratio above preferred level of 28%.'],[]
5529,False,"['DTI ratio too high: 150.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
5530,False,"['DTI ratio too high: 59.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
5531,False,"['Credit score below 640.', 'DTI ratio too high: 43.39%.', 'FEDTI ratio above preferred level of 28%.']",[]
5532,False,"['Credit score below 640.', 'DTI ratio too high: 114.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
5533,False,"['Credit score below 640.', 'DTI ratio too high: 55.11%.', 'FEDTI ratio above preferred level of 28%.']",[]
5534,True,[],['DTI ratio above preferred level of 36%.']
5535,True,[],[]
5536,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5537,False,['Credit score below 640.'],[]
5538,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5539,True,[],[]
5540,False,"['Credit score below 640.', 'DTI ratio too high: 153.31%.', 'FEDTI ratio above preferred level of 28%.']",[]
5541,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5542,False,['Credit score below 640.'],[]
5543,False,"['DTI ratio too high: 124.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
5544,False,"['Credit score below 640.', 'DTI ratio too high: 57.28%.', 'FEDTI ratio above preferred level of 28%.']",[]
5545,False,"['DTI ratio too high: 80.41%.', 'FEDTI ratio above preferred level of 28%.']",[]
5546,False,"['DTI ratio too high: 67.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
5547,False,"['DTI ratio too high: 60.35%.', 'FEDTI ratio above preferred level of 28%.']",[]
5548,True,[],[]
5549,False,"['DTI ratio too high: 52.50%.', 'FEDTI ratio above preferred level of 28%.']",[]
5550,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5551,False,"['Credit score below 640.', 'DTI ratio too high: 49.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
5552,False,['Credit score below 640.'],[]
5553,False,"['Credit score below 640.', 'DTI ratio too high: 46.86%.', 'FEDTI ratio above preferred level of 28%.']",[]
5554,True,[],['DTI ratio above preferred level of 36%.']
5555,False,"['Credit score below 640.', 'DTI ratio too high: 117.95%.', 'FEDTI ratio above preferred level of 28%.']",[]
5556,True,[],[]
5557,False,"['Credit score below 640.', 'DTI ratio too high: 45.02%.', 'FEDTI ratio above preferred level of 28%.']",[]
5558,True,[],[]
5559,False,"['Credit score below 640.', 'DTI ratio too high: 155.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
5560,False,"['Credit score below 640.', 'DTI ratio too high: 47.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
5561,False,"['DTI ratio too high: 75.11%.', 'FEDTI ratio above preferred level of 28%.']",[]
5562,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5563,False,['Credit score below 640.'],[]
5564,False,"['Credit score below 640.', 'DTI ratio too high: 55.29%.', 'FEDTI ratio above preferred level of 28%.']",[]
5565,False,"['DTI ratio too high: 57.06%.', 'FEDTI ratio above preferred level of 28%.']",[]
5566,False,"['Credit score below 640.', 'DTI ratio too high: 130.65%.', 'FEDTI ratio above preferred level of 28%.']",[]
5567,False,"['Credit score below 640.', 'DTI ratio too high: 92.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
5568,False,"['DTI ratio too high: 113.99%.', 'FEDTI ratio above preferred level of 28%.']",[]
5569,False,"['DTI ratio too high: 63.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
5570,False,['DTI ratio too high: 49.21%.'],[]
5571,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5572,False,"['DTI ratio too high: 63.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
5573,False,"['Credit score below 640.', 'DTI ratio too high: 97.64%.', 'FEDTI ratio above preferred level of 28%.']",[]
5574,False,"['Credit score below 640.', 'DTI ratio too high: 60.71%.', 'FEDTI ratio above preferred level of 28%.']",[]
5575,False,"['Credit score below 640.', 'DTI ratio too high: 77.28%.', 'FEDTI ratio above preferred level of 28%.']",[]
5576,False,"['Credit score below 640.', 'DTI ratio too high: 79.75%.', 'FEDTI ratio above preferred level of 28%.']",[]
5577,False,"['Credit score below 640.', 'DTI ratio too high: 108.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
5578,False,"['DTI ratio too high: 63.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
5579,True,[],[]
5580,False,"['Credit score below 640.', 'DTI ratio too high: 84.49%.', 'FEDTI ratio above preferred level of 28%.']",[]
5581,False,"['Credit score below 640.', 'DTI ratio too high: 73.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
5582,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5583,False,['DTI ratio too high: 43.61%.'],[]
5584,False,"['Credit score below 640.', 'DTI ratio too high: 111.93%.', 'FEDTI ratio above preferred level of 28%.']",[]
5585,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5586,False,"['DTI ratio too high: 47.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
5587,False,['DTI ratio too high: 45.88%.'],[]
5588,False,"['DTI ratio too high: 104.39%.', 'FEDTI ratio above preferred level of 28%.']",[]
5589,False,"['Credit score below 640.', 'DTI ratio too high: 46.75%.']",[]
5590,False,"['Credit score below 640.', 'DTI ratio too high: 129.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
5591,False,['Credit score below 640.'],[]
5592,False,"['DTI ratio too high: 44.78%.', 'FEDTI ratio above preferred level of 28%.']",[]
5593,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5594,False,"['DTI ratio too high: 73.11%.', 'FEDTI ratio above preferred level of 28%.']",[]
5595,False,"['Credit score below 640.', 'DTI ratio too high: 73.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
5596,True,[],[]
5597,False,['Credit score below 640.'],[]
5598,False,"['Credit score below 640.', 'DTI ratio too high: 70.47%.', 'FEDTI ratio above preferred level of 28%.']",[]
5599,False,['DTI ratio too high: 44.38%.'],[]
5600,False,"['Credit score below 640.', 'DTI ratio too high: 60.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
5601,False,['DTI ratio too high: 46.37%.'],[]
5602,True,[],[]
5603,False,"['Credit score below 640.', 'DTI ratio too high: 46.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
5604,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5605,False,"['Credit score below 640.', 'DTI ratio too high: 75.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
5606,True,[],[]
5607,False,['DTI ratio too high: 46.70%.'],[]
5608,False,"['DTI ratio too high: 70.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
5609,False,"['Credit score below 640.', 'DTI ratio too high: 50.33%.', 'FEDTI ratio above preferred level of 28%.']",[]
5610,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5611,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5612,False,"['DTI ratio too high: 109.99%.', 'FEDTI ratio above preferred level of 28%.']",[]
5613,False,"['Credit score below 640.', 'DTI ratio too high: 79.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
5614,False,"['DTI ratio too high: 78.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
5615,False,"['Credit score below 640.', 'DTI ratio too high: 59.41%.', 'FEDTI ratio above preferred level of 28%.']",[]
5616,False,"['Credit score below 640.', 'DTI ratio too high: 144.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
5617,False,"['Credit score below 640.', 'DTI ratio too high: 67.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
5618,False,['Credit score below 640.'],[]
5619,False,"['Credit score below 640.', 'DTI ratio too high: 93.93%.', 'FEDTI ratio above preferred level of 28%.']",[]
5620,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5621,False,"['Credit score below 640.', 'DTI ratio too high: 137.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
5622,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5623,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5624,False,"['DTI ratio too high: 48.62%.', 'FEDTI ratio above preferred level of 28%.']",[]
5625,False,['Credit score below 640.'],[]
5626,False,"['Credit score below 640.', 'DTI ratio too high: 82.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
5627,False,"['Credit score below 640.', 'DTI ratio too high: 78.80%.', 'FEDTI ratio above preferred level of 28%.']",[]
5628,False,['Credit score below 640.'],[]
5629,False,['DTI ratio too high: 45.42%.'],[]
5630,False,['DTI ratio too high: 46.30%.'],[]
5631,False,['Credit score below 640.'],[]
5632,False,"['DTI ratio too high: 84.76%.', 'FEDTI ratio above preferred level of 28%.']",[]
5633,False,"['DTI ratio too high: 96.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
5634,False,"['DTI ratio too high: 60.55%.', 'FEDTI ratio above preferred level of 28%.']",[]
5635,False,"['DTI ratio too high: 54.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
5636,False,['Credit score below 640.'],[]
5637,False,"['DTI ratio too high: 98.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
5638,False,"['DTI ratio too high: 65.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
5639,False,"['Credit score below 640.', 'DTI ratio too high: 46.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
5640,False,['Credit score below 640.'],[]
5641,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5642,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5643,False,"['DTI ratio too high: 96.80%.', 'FEDTI ratio above preferred level of 28%.']",[]
5644,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5645,False,"['Credit score below 640.', 'DTI ratio too high: 125.59%.', 'FEDTI ratio above preferred level of 28%.']",[]
5646,False,"['Credit score below 640.', 'DTI ratio too high: 101.86%.', 'FEDTI ratio above preferred level of 28%.']",[]
5647,False,"['DTI ratio too high: 96.55%.', 'FEDTI ratio above preferred level of 28%.']",[]
5648,True,[],[]
5649,False,"['Credit score below 640.', 'DTI ratio too high: 174.90%.', 'FEDTI ratio above preferred level of 28%.']",[]
5650,False,"['Credit score below 640.', 'DTI ratio too high: 124.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
5651,False,"['Credit score below 640.', 'DTI ratio too high: 48.13%.', 'FEDTI ratio above preferred level of 28%.']",[]
5652,False,['Credit score below 640.'],[]
5653,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5654,False,"['DTI ratio too high: 64.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
5655,False,"['Credit score below 640.', 'DTI ratio too high: 45.03%.']",[]
5656,False,['DTI ratio too high: 52.07%.'],[]
5657,False,"['DTI ratio too high: 109.66%.', 'FEDTI ratio above preferred level of 28%.']",[]
5658,False,"['Credit score below 640.', 'DTI ratio too high: 59.63%.', 'FEDTI ratio above preferred level of 28%.']",[]
5659,True,[],[]
5660,False,['Credit score below 640.'],[]
5661,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5662,False,"['Credit score below 640.', 'DTI ratio too high: 67.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
5663,False,"['Credit score below 640.', 'DTI ratio too high: 153.53%.', 'FEDTI ratio above preferred level of 28%.']",[]
5664,False,"['Credit score below 640.', 'DTI ratio too high: 51.01%.', 'FEDTI ratio above preferred level of 28%.']",[]
5665,False,"['DTI ratio too high: 80.35%.', 'FEDTI ratio above preferred level of 28%.']",[]
5666,False,"['Credit score below 640.', 'DTI ratio too high: 52.49%.', 'FEDTI ratio above preferred level of 28%.']",[]
5667,False,"['DTI ratio too high: 112.17%.', 'FEDTI ratio above preferred level of 28%.']",[]
5668,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5669,False,"['DTI ratio too high: 139.47%.', 'FEDTI ratio above preferred level of 28%.']",[]
5670,False,"['DTI ratio too high: 49.62%.', 'FEDTI ratio above preferred level of 28%.']",[]
5671,False,"['Credit score below 640.', 'DTI ratio too high: 141.89%.', 'FEDTI ratio above preferred level of 28%.']",[]
5672,False,"['DTI ratio too high: 50.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
5673,False,"['DTI ratio too high: 106.43%.', 'FEDTI ratio above preferred level of 28%.']",[]
5674,True,[],[]
5675,False,"['Credit score below 640.', 'DTI ratio too high: 68.48%.', 'FEDTI ratio above preferred level of 28%.']",[]
5676,False,"['DTI ratio too high: 77.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
5677,True,[],[]
5678,False,"['DTI ratio too high: 47.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
5679,False,"['Credit score below 640.', 'DTI ratio too high: 91.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
5680,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5681,False,"['DTI ratio too high: 46.18%.', 'FEDTI ratio above preferred level of 28%.']",[]
5682,True,[],[]
5683,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5684,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5685,False,['Credit score below 640.'],[]
5686,True,[],[]
5687,False,"['DTI ratio too high: 87.10%.', 'FEDTI ratio above preferred level of 28%.']",[]
5688,False,"['DTI ratio too high: 74.01%.', 'FEDTI ratio above preferred level of 28%.']",[]
5689,False,"['Credit score below 640.', 'DTI ratio too high: 51.35%.', 'FEDTI ratio above preferred level of 28%.']",[]
5690,True,[],['DTI ratio above preferred level of 36%.']
5691,False,['DTI ratio too high: 44.85%.'],[]
5692,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5693,False,"['Credit score below 640.', 'DTI ratio too high: 46.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
5694,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5695,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5696,False,"['DTI ratio too high: 58.45%.', 'FEDTI ratio above preferred level of 28%.']",[]
5697,False,"['Credit score below 640.', 'DTI ratio too high: 45.92%.', 'FEDTI ratio above preferred level of 28%.']",[]
5698,False,"['DTI ratio too high: 105.46%.', 'FEDTI ratio above preferred level of 28%.']",[]
5699,False,"['DTI ratio too high: 93.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
5700,False,"['Credit score below 640.', 'DTI ratio too high: 80.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
5701,False,"['DTI ratio too high: 54.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
5702,False,['Credit score below 640.'],[]
5703,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5704,False,['Credit score below 640.'],[]
5705,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5706,False,"['Credit score below 640.', 'DTI ratio too high: 77.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
5707,False,"['DTI ratio too high: 91.43%.', 'FEDTI ratio above preferred level of 28%.']",[]
5708,True,[],['DTI ratio above preferred level of 36%.']
5709,False,"['Credit score below 640.', 'DTI ratio too high: 114.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
5710,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5711,False,"['Credit score below 640.', 'DTI ratio too high: 90.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
5712,False,"['Credit score below 640.', 'DTI ratio too high: 65.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
5713,False,"['DTI ratio too high: 50.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
5714,False,"['DTI ratio too high: 49.34%.', 'FEDTI ratio above preferred level of 28%.']",[]
5715,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5716,True,[],[]
5717,False,"['Credit score below 640.', 'DTI ratio too high: 64.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
5718,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5719,False,"['Credit score below 640.', 'DTI ratio too high: 96.47%.', 'FEDTI ratio above preferred level of 28%.']",[]
5720,False,"['Credit score below 640.', 'DTI ratio too high: 159.97%.', 'FEDTI ratio above preferred level of 28%.']",[]
5721,False,['Credit score below 640.'],[]
5722,False,"['Credit score below 640.', 'DTI ratio too high: 57.38%.', 'FEDTI ratio above preferred level of 28%.']",[]
5723,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5724,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5725,True,[],[]
5726,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5727,True,[],[]
5728,False,"['DTI ratio too high: 68.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
5729,False,"['DTI ratio too high: 79.97%.', 'FEDTI ratio above preferred level of 28%.']",[]
5730,False,"['DTI ratio too high: 110.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
5731,False,"['DTI ratio too high: 52.25%.', 'FEDTI ratio above preferred level of 28%.']",[]
5732,False,"['Credit score below 640.', 'DTI ratio too high: 46.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
5733,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5734,False,['Credit score below 640.'],[]
5735,False,"['Credit score below 640.', 'DTI ratio too high: 130.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
5736,False,"['Credit score below 640.', 'DTI ratio too high: 118.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
5737,False,"['Credit score below 640.', 'DTI ratio too high: 56.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
5738,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
5739,False,"['Credit score below 640.', 'DTI ratio too high: 57.26%.', 'FEDTI ratio above preferred level of 28%.']",[]
5740,False,"['Credit score below 640.', 'DTI ratio too high: 46.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
5741,True,[],[]
